1288,8,1427,-11,1436,47,1297,67
1067,86,1279,15,1302,83,1091,155
1073,159,1265,86,1292,156,1099,229
1072,323,1644,113,1686,228,1114,438
678,259,811,209,835,272,702,323
1324,385,1881,208,1919,326,1361,504
696,315,771,296,784,348,709,367
686,464,919,377,956,476,724,563
1089,466,1285,404,1318,508,1122,570
1350,533,1764,419,1798,543,1384,656
16,539,123,500,140,546,32,585
695,594,1005,495,1037,595,727,695
17,589,188,521,208,573,37,640
1107,607,1356,538,1386,647,1137,716
123,669,390,575,421,661,154,755
1122,747,1791,590,1820,713,1151,870
707,725,1019,638,1048,740,735,827
-2,714,117,676,143,757,23,795
1748,776,2056,712,2083,843,1776,907
-1,822,294,731,320,816,24,907
1141,902,1751,777,1776,900,1166,1025
718,860,983,794,1009,899,745,965
4,936,189,882,213,963,28,1017
271,968,569,899,592,997,294,1067
730,996,1049,927,1073,1036,753,1105
10,1041,264,982,285,1072,31,1131
