114,44,177,44,177,82,114,82
193,44,264,44,264,82,193,82
260,44,348,44,348,82,260,82
37,45,117,45,117,82,37,82
396,46,426,46,426,82,396,82
422,45,466,45,466,82,422,82
548,50,558,50,558,80,548,80
534,52,546,52,546,80,534,80
345,53,389,53,389,82,345,82
464,53,525,53,525,84,464,84
174,54,197,54,197,81,174,81
526,57,534,57,534,80,526,80
145,82,170,82,170,121,145,121
34,84,97,84,97,122,34,122
94,84,144,84,144,124,94,124
169,84,230,84,230,122,169,122
310,84,353,84,353,121,310,121
402,84,450,84,450,122,402,122
446,84,502,84,502,122,446,122
517,86,549,86,549,105,517,105
548,86,564,86,564,105,548,105
230,85,268,85,268,122,230,122
265,85,312,85,312,122,265,122
350,85,402,85,402,122,350,122
522,104,564,104,564,122,522,122
504,105,524,105,524,122,504,122
50,126,104,126,104,146,50,146
100,124,144,124,144,164,100,164
140,124,217,124,217,164,140,164
225,126,277,126,277,145,225,145
404,126,450,126,450,145,404,145
445,124,502,124,502,164,445,164
498,124,561,124,561,162,498,162
274,126,305,126,305,164,274,164
301,125,352,125,352,162,301,162
352,133,376,133,376,162,352,162
374,133,398,133,398,162,374,162
62,145,103,143,104,163,62,165
216,144,276,144,276,164,216,164
400,144,449,144,449,164,400,164
