20,5,177,5,177,59,20,59
1111,28,1176,28,1176,49,1111,49
188,30,251,30,251,59,188,59
22,81,97,81,97,108,22,108
102,81,207,81,207,112,102,112
238,77,315,85,312,115,235,108
99,131,144,131,144,154,99,154
181,131,240,131,240,152,181,152
253,131,360,131,360,152,253,152
20,133,47,133,47,152,20,152
51,133,95,133,95,156,51,156
144,135,177,135,177,156,144,156
137,200,171,200,171,224,137,224
238,200,274,200,274,224,238,224
337,200,375,200,375,224,337,224
436,200,489,200,489,224,436,224
552,200,587,200,587,224,552,224
749,200,798,200,798,223,749,223
36,202,70,202,70,228,36,228
651,202,686,202,686,224,651,224
20,268,51,268,51,291,20,291
53,270,68,270,68,289,53,289
901,303,958,303,958,324,901,324
962,303,1006,303,1006,324,962,324
1017,303,1073,303,1073,324,1017,324
20,367,51,367,51,390,20,390
53,369,70,369,70,388,53,388
1103,419,1197,419,1197,440,1103,440
1103,447,1160,447,1160,468,1103,468
20,467,68,467,68,488,20,488
1103,472,1136,472,1136,497,1103,497
1138,472,1166,472,1166,497,1138,497
