512,21,679,21,679,57,512,57
684,21,734,21,734,59,684,59
739,19,820,19,820,59,739,59
827,21,951,21,951,59,827,59
951,19,1030,19,1030,59,951,59
594,114,740,121,738,161,592,154
742,115,843,122,840,161,739,154
844,117,946,123,944,158,842,152
557,197,662,197,662,231,557,231
698,197,848,197,848,233,698,233
853,197,977,197,977,233,853,233
667,200,689,200,689,228,667,228
972,379,1256,379,1256,481,972,481
782,386,958,386,958,484,782,484
889,512,1022,512,1022,550,889,550
1025,512,1061,512,1061,543,1025,543
1061,512,1201,512,1201,546,1061,546
