182,16,272,34,267,61,177,43
269,33,357,46,353,72,266,59
124,57,307,81,302,120,119,95
310,85,387,94,383,127,306,118
167,144,259,155,256,181,164,170
258,158,345,164,343,185,257,179
120,185,306,193,304,231,118,223
310,195,387,197,386,231,309,229
173,292,262,292,262,318,173,318
262,293,342,293,342,318,262,318
308,338,383,335,385,365,309,368
124,345,305,337,306,371,125,379
261,415,341,404,344,431,265,442
171,428,262,413,267,440,176,456
302,452,382,437,387,466,307,480
124,486,301,448,308,480,131,518
272,539,354,519,360,545,278,565
185,565,272,537,281,566,193,593
317,569,389,549,395,569,322,588
146,624,246,592,252,612,152,643
147,669,253,705,244,733,138,697
259,693,366,765,343,799,236,728
477,779,557,745,568,772,488,806
