1457,108,1522,108,1522,160,1457,160
1422,130,1457,130,1457,169,1422,169
1415,194,1549,159,1561,206,1427,241
1455,257,1538,243,1546,290,1463,304
2349,401,2456,348,2479,395,2373,448
1892,408,2007,351,2031,400,1916,457
2480,354,2558,411,2530,450,2451,394
2029,359,2120,412,2095,455,2004,402
2408,565,2536,523,2553,575,2425,618
1956,578,2095,532,2114,587,1974,633
2375,539,2422,539,2422,587,2375,587
1918,552,1970,552,1970,600,1918,600
0,761,113,761,113,822,0,822
