702,125,710,125,710,172,702,172
690,140,700,140,700,180,690,180
645,144,654,144,654,193,645,193
632,158,642,158,642,201,632,201
592,162,602,162,602,216,592,216
578,180,589,180,589,225,578,225
536,182,548,182,548,237,536,237
60,190,88,200,84,214,56,204
518,200,531,199,533,247,520,248
89,199,161,222,156,237,84,214
478,204,490,204,490,261,478,261
691,217,705,217,705,322,691,322
426,222,440,222,440,282,426,282
462,222,476,222,476,272,462,272
163,222,255,251,250,267,158,238
79,228,207,268,195,307,67,266
536,242,545,242,545,249,536,249
377,242,390,242,390,304,377,304
409,244,422,244,422,293,409,293
634,250,649,250,649,328,634,328
582,255,599,256,597,341,580,341
324,260,338,260,338,322,324,322
358,264,372,264,372,316,358,316
478,266,489,266,489,273,478,273
524,269,542,269,542,354,524,354
305,282,320,282,320,336,305,336
426,288,437,288,437,296,426,296
108,282,215,319,202,356,95,320
376,309,389,309,389,318,376,318
413,320,433,320,433,418,413,418
324,329,337,329,337,338,324,338
692,330,701,330,701,352,692,352
636,332,645,332,645,353,636,353
466,346,485,346,485,409,466,409
581,348,593,348,593,370,581,370
67,342,266,423,248,469,48,387
633,355,648,356,646,424,632,423
690,360,702,360,702,402,690,402
362,360,385,360,385,477,362,477
524,362,537,362,537,386,524,386
310,366,326,366,326,408,310,408
580,378,596,378,596,476,580,476
524,393,541,393,541,520,524,520
309,414,333,414,333,560,309,560
465,418,480,418,480,445,465,445
413,426,426,426,426,452,413,452
131,428,189,446,179,479,121,461
465,453,484,453,484,510,465,510
413,459,431,459,431,587,413,587
93,455,239,517,222,558,76,496
364,482,380,482,380,510,364,510
363,516,383,516,383,598,363,598
310,562,332,562,332,649,310,649
